Chip,Plate_Location,Population_Name,no_accent_pop_name,Sample,CEL_file_name,Sex,Paternal_ID,Maternal_ID,Phenotype,Notes,Owner,Private/Public,City,State/Province,Country,Region,Latitude,Longitude,Year,Include_in_chip_manuscript
2,A06,Pre_Release_Centro,Pre_Release_Centro,Jac_004,Jac_004,M,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,A07,Pre_Release_Centro,Pre_Release_Centro,Jac_012,Jac_012,M,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,A08,Pre_Release_Centro,Pre_Release_Centro,Jac_020,Jac_020,F,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,A09,Pre_Release_Centro,Pre_Release_Centro,Jac_028,Jac_028,F,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,A10,Clovis,Clovis,Jac_036,Jac_036,F,,,,(Clovis_060 was mislabeled Jac_036),Andrea Gloria-Soria,,Clovis,California,USA,New_World,36.827016,-119.691764,2013,
2,A11,Liverpool_Severson,Liverpool_Severson,Liv_051,Liv_052,M,,,,"D. Severson lab, U. Notre Dame used to generate the AaegL1 assembly.",Andrea Gloria-Soria,,Freetown,,Sierra Leone,Africa,,,2013,
2,A12,Rockefeller_Severson,Rockefeller_Severson,RockF_037,RockF_038,F,,,,"D. Severson lab. University of Notre Dame strain. In 1959, was shipped from Fort Detrick to the University of Notre Dame",Andrea Gloria-Soria,,Notre Dame U,,Rockefeller,Lab,,,1959,
2,B01,OX513A,OX513A,OX513_003,OX513_003,,,,,,Andrea Gloria-Soria,,Oxitec (Transgenic),,Oxitec,Lab,,,2014,
2,B02,OX513A,OX513A,OX513_012,OX513_012,,,,,,Andrea Gloria-Soria,,Oxitec (Transgenic),,Oxitec,Lab,,,2014,
2,B03,OX513A,OX513A,OX513_022,OX513_022,,,,,,Andrea Gloria-Soria,,Oxitec (Transgenic),,Oxitec,Lab,,,2014,
